user_id,num_filled_feature,birthday,education_classes_id,education_concentration_id,education_degree_id,education_school_id,education_type,education_with_id,education_year_id,first_name,gender,hometown_id,languages_id,last_name,locale,location_id,middle_name,name,political,religion,work_employer_id,work_end_date,work_from_id,work_location_id,work_position_id,work_projects_id,work_start_date,work_with_id
0-73,14,0.0,,14.0,22.0,50.0,55.0,,64.0,,78.0,,97.0,,127.0,138.0,,,,,,161.0,,185.0,190.0,,214.0,
0-74,3,,,,,,53.0,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-75,7,7.0,,,,50.0,53.0,,63.0,,78.0,,,,127.0,132.0,,,,,,,,,,,,
0-76,5,,,,,,53.0,,,,78.0,,100.0,113.0,127.0,,,,,,,,,,,,,
0-77,9,,,14.0,,50.0,55.0,,,,,,,,127.0,138.0,,,,,152.0,169.0,,,200.0,,211.0,
0-78,2,,,,,,,,,,77.0,,,,127.0,,,,,,,,,,,,,
0-79,8,,,,,50.0,53.0,,67.0,,78.0,,101.0,,127.0,132.0,,,,,,,,179.0,,,,
0-80,12,,,,,50.0,55.0,,71.0,,77.0,,92.0,,127.0,139.0,,,,,153.0,169.0,,187.0,199.0,,216.0,
0-81,11,,,14.0,23.0,52.0,55.0,,63.0,,77.0,,103.0,,127.0,128.0,,,,,,173.0,,,191.0,,,
0-82,9,7.0,,16.0,,50.0,55.0,,71.0,,78.0,83.0,100.0,,127.0,,,,,,,,,,,,,
0-83,5,,,,,47.0,55.0,,65.0,,77.0,,,,126.0,,,,,,,,,,,,,
0-84,8,,,,,50.0,55.0,,63.0,,77.0,,,,127.0,132.0,,,,,,160.0,,,,,201.0,
0-85,9,7.0,,14.0,,50.0,55.0,,63.0,,78.0,,,,127.0,,,,,,145.0,,,,,,214.0,
0-86,2,,,,,,,,,,77.0,,,,127.0,,,,,,,,,,,,,
0-87,7,5.0,,,,50.0,55.0,,65.0,,78.0,,,107.0,127.0,,,,,,,,,,,,,
0-88,2,,,,,,,,,,77.0,,,,127.0,,,,,,,,,,,,,
0-89,3,,,,,,,,,,78.0,,,115.0,127.0,,,,,,,,,,,,,
0-90,2,,,,,,,,,,77.0,,,,127.0,,,,,,,,,,,,,
0-91,9,3.0,,,,52.0,55.0,,72.0,,78.0,,,,127.0,128.0,,,,,151.0,,,,,,204.0,
0-92,9,1.0,,19.0,22.0,50.0,54.0,,64.0,,78.0,,,,127.0,132.0,,,,,,,,,,,,
0-93,6,,,,,,55.0,,,,78.0,81.0,92.0,,127.0,,,,,,,,,,,,201.0,
0-94,8,,,,,50.0,55.0,,64.0,,77.0,,,,127.0,,,,,,152.0,174.0,,,,,216.0,
0-95,5,,,,,38.0,55.0,,,,78.0,,,,127.0,136.0,,,,,,,,,,,,
0-96,2,,,,,,,,,,77.0,,,,127.0,,,,,,,,,,,,,
0-97,2,,,,,,,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-98,2,,,,,,,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-99,3,7.0,,,,,,,,,77.0,,,,127.0,,,,,,,,,,,,,
0-100,13,,,13.0,,52.0,55.0,,66.0,,78.0,,94.0,,127.0,128.0,,,,,159.0,173.0,,184.0,188.0,,216.0,
0-101,7,,,,,50.0,54.0,,64.0,,78.0,,,124.0,127.0,138.0,,,,,,,,,,,,
0-102,5,,,,,45.0,55.0,,,,78.0,,,,127.0,136.0,,,,,,,,,,,,
0-103,11,,,,,50.0,55.0,,65.0,,78.0,,103.0,,127.0,,,,,,152.0,173.0,,182.0,196.0,,216.0,
0-104,9,,,,,50.0,55.0,,65.0,,77.0,87.0,92.0,,127.0,132.0,,,,,158.0,,,,,,,
0-105,11,,,14.0,,50.0,55.0,,72.0,,78.0,,,,127.0,,,,,,147.0,171.0,,179.0,192.0,,210.0,
0-106,2,,,,,,,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-107,6,,,,22.0,52.0,54.0,,70.0,,78.0,,,,127.0,,,,,,,,,,,,,
0-108,4,,,,,,55.0,,72.0,,78.0,,,,127.0,,,,,,,,,,,,,
0-109,13,7.0,,,,50.0,55.0,,65.0,,78.0,,101.0,112.0,127.0,138.0,,,,,149.0,166.0,,185.0,,,216.0,
0-110,2,,,,,,,,,,77.0,,,,127.0,,,,,,,,,,,,,
0-111,7,0.0,,,,39.0,55.0,,67.0,,77.0,81.0,,,127.0,,,,,,,,,,,,,
0-112,2,,,,,,,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-113,12,,,14.0,,50.0,55.0,,65.0,,78.0,,92.0,,127.0,138.0,,,,,,173.0,,185.0,191.0,,216.0,
0-114,9,,,,,50.0,55.0,,65.0,,77.0,,101.0,,127.0,138.0,,,,,,166.0,,179.0,,,,
0-115,8,,,,,39.0,55.0,,61.0,,78.0,81.0,,,127.0,,,,,,146.0,,,,,,201.0,
0-116,7,,,,,42.0,55.0,,,,77.0,81.0,,105.0,127.0,129.0,,,,,,,,,,,,
0-117,4,,,,,50.0,53.0,,,,77.0,,,,127.0,,,,,,,,,,,,,
0-118,12,7.0,,,,50.0,55.0,,66.0,,78.0,,100.0,109.0,127.0,138.0,,,,,,173.0,,181.0,,,217.0,
0-119,13,,,14.0,21.0,52.0,55.0,,72.0,,78.0,,,,127.0,128.0,,,,,156.0,174.0,,179.0,200.0,,217.0,
0-120,12,4.0,,14.0,,50.0,55.0,,66.0,,78.0,85.0,101.0,,127.0,,,,,,,171.0,,185.0,,,217.0,
0-121,8,7.0,,,,50.0,55.0,,,,78.0,87.0,,,127.0,,,,,,150.0,,,187.0,,,,
0-122,6,,,,,50.0,53.0,,59.0,,77.0,,,,127.0,,,,,,145.0,,,,,,,
0-123,9,7.0,,14.0,,50.0,55.0,,65.0,,78.0,,92.0,,127.0,138.0,,,,,,,,,,,,
0-124,7,,,,,,55.0,,59.0,,78.0,,,,127.0,,,,,,,,,178.0,192.0,,216.0,
0-125,2,7.0,,,,,,,,,78.0,,,,,,,,,,,,,,,,,
0-126,6,,,,,50.0,55.0,,63.0,,77.0,,,,127.0,132.0,,,,,,,,,,,,
0-127,8,,,,22.0,,55.0,,61.0,,78.0,,,,127.0,,,,,,,160.0,,,192.0,,201.0,
0-128,9,7.0,,,,50.0,55.0,,59.0,,77.0,,,,127.0,138.0,,,,,158.0,,,,200.0,,,
0-129,6,,,13.0,,50.0,55.0,,72.0,,77.0,,,,127.0,,,,,,,,,,,,,
0-130,3,,,,,,,,,,78.0,,,,127.0,132.0,,,,,,,,,,,,
0-131,3,,,,,,,,,73.0,77.0,,,,127.0,,,,,,,,,,,,,
0-132,10,,,,,50.0,55.0,,,,78.0,,98.0,,127.0,138.0,,,,,149.0,171.0,,185.0,,,215.0,
0-133,7,7.0,,,,50.0,55.0,,65.0,,77.0,,,,127.0,138.0,,,,,,,,,,,,
0-134,9,7.0,,16.0,,50.0,53.0,,63.0,,78.0,,,,127.0,132.0,,,,,145.0,,,,,,,
0-135,7,4.0,,,,51.0,55.0,,62.0,,77.0,,,,127.0,131.0,,,,,,,,,,,,
0-136,2,,,,,,,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-137,6,,,,,,55.0,,,,78.0,81.0,,,127.0,139.0,,,,,,167.0,,,,,,
0-138,5,2.0,,,,,54.0,,71.0,,78.0,,,,127.0,,,,,,,,,,,,,
0-139,10,4.0,,,,,55.0,,62.0,,78.0,,92.0,,127.0,,,,,,149.0,168.0,,185.0,,,210.0,
0-140,6,1.0,,,,28.0,55.0,,67.0,,77.0,,,,127.0,,,,,,,,,,,,,
0-141,13,6.0,,14.0,,50.0,55.0,,65.0,,78.0,,92.0,,127.0,134.0,,,,,,160.0,,187.0,191.0,,222.0,
0-142,8,,,,,50.0,53.0,,59.0,,77.0,,,,127.0,132.0,,,,,149.0,,,,,,221.0,
0-143,7,,,,,45.0,55.0,,71.0,,78.0,88.0,,,127.0,,,,,,,,,177.0,,,,
0-144,7,2.0,,,,40.0,55.0,,,,77.0,,,,127.0,133.0,,,,,,,,176.0,,,,
0-145,5,,,,,,55.0,,,,78.0,,,,127.0,,,,,,,160.0,,,,,201.0,
0-146,8,,,14.0,,50.0,54.0,,63.0,,78.0,,98.0,,127.0,132.0,,,,,,,,,,,,
0-147,10,3.0,,,,35.0,55.0,,65.0,,77.0,,,111.0,127.0,136.0,,,,,,160.0,,,,,201.0,
0-148,6,,,,,33.0,55.0,,65.0,,,,,,126.0,,,,,,,172.0,,,,,219.0,
0-149,5,,,,,,55.0,,57.0,,77.0,,,114.0,127.0,,,,,,,,,,,,,
0-150,10,6.0,,,,52.0,55.0,,69.0,,77.0,,,,127.0,128.0,,,,,,169.0,,,200.0,,220.0,
0-151,3,,,,,,,,,,78.0,,,108.0,127.0,,,,,,,,,,,,,
0-152,13,,,,,50.0,55.0,,71.0,,78.0,86.0,101.0,,127.0,132.0,,,,,149.0,160.0,,179.0,189.0,,210.0,
0-153,4,,,,,50.0,55.0,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-154,2,,,,,,,,,,77.0,,,,127.0,,,,,,,,,,,,,
0-155,5,,,,,50.0,55.0,,63.0,,77.0,,,,127.0,,,,,,,,,,,,,
0-156,14,,10.0,14.0,,50.0,55.0,,63.0,76.0,78.0,,,,127.0,138.0,,,,,154.0,171.0,,176.0,191.0,,215.0,
0-157,11,6.0,,13.0,21.0,50.0,55.0,,72.0,,78.0,,,,127.0,132.0,,,,,,,,185.0,,,201.0,
0-158,12,,,14.0,,50.0,53.0,,72.0,,78.0,,,112.0,127.0,132.0,,,,,,173.0,,183.0,199.0,,217.0,
0-159,9,3.0,,14.0,,50.0,55.0,,72.0,,78.0,,92.0,,127.0,,,,,,,,,,,,220.0,
0-160,10,1.0,,13.0,22.0,50.0,55.0,,67.0,,78.0,,,,127.0,,,,,,,160.0,,,,,201.0,
0-161,10,,,16.0,,50.0,55.0,,,,78.0,82.0,,,127.0,138.0,,,,,,168.0,,185.0,,,211.0,
0-162,4,,,,,,55.0,,,,77.0,,,120.0,127.0,,,,,,,,,,,,,
0-163,9,,,,,52.0,54.0,,63.0,,78.0,,,,127.0,128.0,,,,,141.0,160.0,,,,,201.0,
0-164,3,,,,,,,,,,78.0,,,,127.0,134.0,,,,,,,,,,,,
0-165,10,,11.0,,,50.0,53.0,,,,78.0,,,,127.0,139.0,,,,,150.0,,,187.0,191.0,,201.0,
0-166,2,,,,,,,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-167,9,0.0,,,,39.0,55.0,,71.0,,77.0,81.0,,,127.0,,,,,,,160.0,,,,,201.0,
0-168,8,,,13.0,,50.0,53.0,,,76.0,78.0,,,116.0,127.0,132.0,,,,,,,,,,,,
0-169,9,,,14.0,,50.0,55.0,,67.0,,78.0,,,,127.0,,,,,,,160.0,,,199.0,,201.0,
0-170,15,7.0,12.0,14.0,,50.0,55.0,,65.0,,78.0,,97.0,,127.0,132.0,,,,,149.0,173.0,,179.0,196.0,,222.0,
0-171,8,,,14.0,,52.0,55.0,,69.0,,78.0,,,,127.0,,,,,,,171.0,,,,,210.0,
0-172,13,5.0,,,,50.0,55.0,,69.0,,78.0,,103.0,,126.0,132.0,,,,,158.0,169.0,,185.0,193.0,,211.0,
0-173,10,,,14.0,,52.0,55.0,,66.0,,78.0,,,,,129.0,,,,,141.0,167.0,,183.0,200.0,,,
0-174,3,6.0,,,,,,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-175,8,4.0,,,,45.0,55.0,,,,78.0,88.0,,104.0,127.0,137.0,,,,,,,,,,,,
0-176,11,7.0,,,,50.0,55.0,,65.0,,78.0,,92.0,,127.0,134.0,,,,,,173.0,,185.0,,,216.0,
0-177,7,,,,,45.0,55.0,,,,77.0,80.0,,,127.0,134.0,,,,,,160.0,,,,,,
0-178,10,5.0,,,,50.0,55.0,,66.0,,77.0,,,,127.0,,,,,,155.0,160.0,,,191.0,,201.0,
0-179,5,,,,,,55.0,,,,77.0,,,,127.0,,,,,,,160.0,,,,,201.0,
0-180,7,,,,,50.0,55.0,,,,78.0,,,,127.0,132.0,,,,,,173.0,,,,,216.0,
0-181,2,,,,,,,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-182,10,,,,22.0,,54.0,,71.0,,77.0,,94.0,,127.0,139.0,,,,,156.0,,,176.0,,,206.0,
0-183,11,7.0,,,,52.0,55.0,,65.0,,77.0,,92.0,,127.0,128.0,,,,,156.0,174.0,,,,,217.0,
0-184,2,,,,,,,,,,78.0,,,,126.0,,,,,,,,,,,,,
0-185,2,,,,,,,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-186,3,,,,,,,,,74.0,77.0,,,,127.0,,,,,,,,,,,,,
0-187,4,,,,,50.0,54.0,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-188,11,6.0,,14.0,,50.0,55.0,,65.0,,78.0,,92.0,,127.0,,,,,,,161.0,,179.0,,,205.0,
0-189,2,,,,,,,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-190,2,,,,,,,,,,77.0,,,,127.0,,,,,,,,,,,,,
0-191,2,,,,,,,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-192,7,1.0,,,,40.0,55.0,,,,78.0,,,,127.0,130.0,,,,,,,,,,,209.0,
0-193,9,,,,,,55.0,,,,78.0,84.0,92.0,,127.0,129.0,,,,,153.0,,,181.0,,,216.0,
0-194,9,,,14.0,,50.0,55.0,,72.0,,77.0,,,,127.0,132.0,,,,,,169.0,,,,,210.0,
0-195,1,,,,,,,,,,,,,,127.0,,,,,,,,,,,,,
0-196,14,4.0,,14.0,20.0,50.0,54.0,,66.0,,78.0,,,,127.0,132.0,,,,,159.0,173.0,,184.0,199.0,,216.0,
0-197,8,,,,,,55.0,,66.0,,78.0,,,,127.0,,,,,,149.0,168.0,,185.0,,,210.0,
0-198,11,,,,,52.0,55.0,,59.0,,77.0,,100.0,,127.0,128.0,,,,,156.0,160.0,,176.0,,,214.0,
0-199,11,7.0,,,,50.0,55.0,,65.0,,78.0,83.0,,,127.0,138.0,,,,,149.0,174.0,,,,,219.0,
0-200,11,7.0,,,,48.0,55.0,,65.0,,78.0,,102.0,,126.0,132.0,,,,,158.0,,,185.0,,,216.0,
0-201,5,,,,,,55.0,,65.0,,,,,,127.0,139.0,,,,,,,,187.0,,,,
0-202,7,,,,22.0,52.0,55.0,,66.0,,78.0,,,,127.0,139.0,,,,,,,,,,,,
0-203,12,7.0,,18.0,,50.0,55.0,,72.0,,77.0,,100.0,,127.0,132.0,,,,,149.0,173.0,,,,,217.0,
0-204,13,,,14.0,22.0,50.0,54.0,,65.0,,78.0,,,,127.0,132.0,,,,,141.0,173.0,,181.0,200.0,,216.0,
0-205,7,,,,,40.0,55.0,,60.0,,77.0,,,,127.0,130.0,,,,,,,,,,,209.0,
0-206,12,,,14.0,,50.0,55.0,,65.0,,78.0,,94.0,,127.0,132.0,,,,,149.0,165.0,,179.0,,,217.0,
0-207,8,,,14.0,,50.0,55.0,,63.0,,77.0,,,,127.0,132.0,,,,,,160.0,,,,,,
0-208,11,,,14.0,,50.0,55.0,,66.0,,78.0,,,,127.0,,,,,,149.0,170.0,,181.0,191.0,,220.0,
0-209,5,,,,,50.0,55.0,,,,78.0,81.0,,,127.0,,,,,,,,,,,,,
0-210,5,,,,,38.0,55.0,,65.0,,77.0,,,,127.0,,,,,,,,,,,,,
0-211,12,,8.0,15.0,,50.0,55.0,,65.0,,78.0,83.0,100.0,,127.0,,,,,,149.0,173.0,,,,,215.0,
0-212,11,,,14.0,,,55.0,,63.0,,78.0,,92.0,,127.0,,,,,,158.0,175.0,,185.0,193.0,,219.0,
0-213,12,,,14.0,20.0,50.0,55.0,,69.0,,77.0,,,,127.0,132.0,,,,,,173.0,,181.0,196.0,,217.0,
0-214,9,,,,,39.0,55.0,,,,78.0,81.0,,,127.0,136.0,,,,,,168.0,,180.0,,,213.0,
0-215,6,,,14.0,,,54.0,,,,78.0,,,,127.0,,,,,,152.0,160.0,,,,,,
0-216,3,,,,,,,,,,78.0,,,119.0,127.0,,,,,,,,,,,,,
0-217,2,,,,,,,,,,77.0,,,,125.0,,,,,,,,,,,,,
0-218,6,4.0,,,,50.0,53.0,56.0,,,78.0,,,,127.0,,,,,,,,,,,,,
0-219,8,3.0,,,,35.0,55.0,,66.0,,78.0,,,,127.0,,,,,,,165.0,,,,,211.0,
0-220,8,3.0,,14.0,,,55.0,,59.0,,78.0,,101.0,,127.0,,,,,,,,,,,,219.0,
0-221,7,7.0,,14.0,,50.0,55.0,,65.0,,78.0,,,,127.0,,,,,,,,,,,,,
0-222,11,7.0,,,,50.0,55.0,,65.0,,77.0,,100.0,,126.0,138.0,,,,,,171.0,,,192.0,,214.0,
0-223,6,,,14.0,,30.0,53.0,,,,77.0,,,,127.0,132.0,,,,,,,,,,,,
0-224,13,5.0,,14.0,,50.0,55.0,,64.0,,78.0,,,,127.0,138.0,,,,,152.0,169.0,,185.0,197.0,,216.0,
0-225,5,,,,,45.0,55.0,,,,78.0,80.0,,,127.0,,,,,,,,,,,,,
0-226,11,2.0,,,,42.0,55.0,,72.0,,78.0,81.0,,114.0,127.0,135.0,,,,,,,,177.0,,,208.0,
0-227,11,7.0,,,,45.0,55.0,,69.0,,77.0,88.0,,104.0,127.0,137.0,,,,,,,,177.0,,,215.0,
0-228,2,,,,,,,,,,77.0,,,,127.0,,,,,,,,,,,,,
0-229,10,,,,,50.0,55.0,,65.0,,77.0,,92.0,,127.0,138.0,,,,,,172.0,,,200.0,,217.0,
0-230,2,,,,,,,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-231,2,,,,,,,,,,77.0,,,,127.0,,,,,,,,,,,,,
0-232,11,,,14.0,,50.0,55.0,,69.0,,78.0,,,,127.0,,,,,,158.0,173.0,,185.0,197.0,,216.0,
0-233,7,5.0,,,,38.0,55.0,,68.0,,77.0,,,,127.0,130.0,,,,,,,,,,,,
0-234,6,,,,,50.0,55.0,,63.0,,77.0,83.0,,,127.0,,,,,,,,,,,,,
0-235,2,,,,,,,,,,77.0,,,,127.0,,,,,,,,,,,,,
0-236,13,7.0,,14.0,,50.0,53.0,,59.0,,77.0,,,,127.0,138.0,,,,,152.0,175.0,,185.0,195.0,,222.0,
0-237,11,7.0,,,,50.0,55.0,,65.0,,,,101.0,,127.0,132.0,,,,,149.0,166.0,,179.0,,,220.0,
0-238,4,,,,,,,,,,78.0,,,117.0,127.0,138.0,,,,,,,,,,,,
0-239,8,,9.0,,,50.0,55.0,,,,77.0,87.0,,,127.0,132.0,,,,,145.0,,,,,,,
0-240,5,,,,,50.0,54.0,,69.0,,77.0,,,,127.0,,,,,,,,,,,,,
0-241,3,,,,,,,,,,78.0,,,,127.0,134.0,,,,,,,,,,,,
0-242,2,,,,,,,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-243,3,,,,,,,,,,77.0,,,119.0,127.0,,,,,,,,,,,,,
0-244,2,,,,,,,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-245,6,,,,,32.0,54.0,,63.0,,77.0,,,,127.0,129.0,,,,,,,,,,,,
0-246,3,,,,,,,,,,77.0,,,123.0,127.0,,,,,,,,,,,,,
0-247,11,4.0,,,,50.0,55.0,,72.0,,78.0,85.0,92.0,,127.0,,,,,,,173.0,,,200.0,,219.0,
0-248,10,,,14.0,,50.0,55.0,,69.0,,78.0,,,,127.0,,,,,,152.0,169.0,,182.0,,,218.0,
0-249,5,,,19.0,,50.0,55.0,,,,78.0,,,,127.0,,,,,,,,,,,,,
0-250,9,7.0,,14.0,,50.0,55.0,,63.0,,77.0,,92.0,,127.0,132.0,,,,,,,,,,,,
0-251,2,,,,,,,,,,77.0,,,,127.0,,,,,,,,,,,,,
0-252,14,,12.0,16.0,,50.0,55.0,,65.0,,77.0,,100.0,,127.0,132.0,,,,,149.0,174.0,,179.0,,,220.0,223.0
